%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1519700448872159702,7006,1519700448852750062,optoforce_0,-0.0281412691712,0.0869565217391,1.96399345336,0.0,0.0,0.0
1519700448906931965,7007,1519700448892822027,optoforce_0,-0.0140706345856,0.0579710144928,1.96399345336,0.0,0.0,0.0
1519700448939387217,7008,1519700448922786951,optoforce_0,-0.0281412691712,0.0724637681159,1.96399345336,0.0,0.0,0.0
1519700448974307326,7009,1519700448952749967,optoforce_0,-0.0281412691712,0.0724637681159,1.96399345336,0.0,0.0,0.0
1519700449007141500,7010,1519700448992871046,optoforce_0,-0.0281412691712,0.0579710144928,1.96399345336,0.0,0.0,0.0
1519700449041033192,7011,1519700449022839069,optoforce_0,-0.0140706345856,0.0434782608696,1.96399345336,0.0,0.0,0.0
1519700449074002090,7012,1519700449052782058,optoforce_0,-0.0281412691712,0.0724637681159,1.96399345336,0.0,0.0,0.0
1519700449107845293,7013,1519700449092842102,optoforce_0,-0.0422119037569,0.0724637681159,1.96399345336,0.0,0.0,0.0
1519700449139984660,7014,1519700449122987031,optoforce_0,-0.0281412691712,0.0579710144928,1.96399345336,0.0,0.0,0.0
1519700449174236681,7015,1519700449152956008,optoforce_0,0.0,0.0579710144928,1.96399345336,0.0,0.0,0.0
1519700449205300956,7016,1519700449192982912,optoforce_0,-0.0422119037569,0.0724637681159,1.96399345336,0.0,0.0,0.0
1519700449238007086,7017,1519700449222899913,optoforce_0,-0.0281412691712,0.0724637681159,1.96399345336,0.0,0.0,0.0
1519700449271935275,7018,1519700449252830982,optoforce_0,-0.0281412691712,0.0579710144928,1.96399345336,0.0,0.0,0.0
1519700449307166208,7019,1519700449293545961,optoforce_0,-0.0140706345856,0.0579710144928,1.96399345336,0.0,0.0,0.0
1519700449339438644,7020,1519700449322916030,optoforce_0,-0.0281412691712,0.0869565217391,1.96399345336,0.0,0.0,0.0
1519700449374001433,7021,1519700449352858066,optoforce_0,-0.0422119037569,0.0724637681159,1.96399345336,0.0,0.0,0.0
1519700449406959302,7022,1519700449392936944,optoforce_0,-0.0140706345856,0.0579710144928,1.96399345336,0.0,0.0,0.0
1519700449440388393,7023,1519700449422874927,optoforce_0,-0.0140706345856,0.0579710144928,1.96399345336,0.0,0.0,0.0
1519700449474314626,7024,1519700449452802896,optoforce_0,-0.0281412691712,0.0724637681159,1.96399345336,0.0,0.0,0.0
1519700449506693637,7025,1519700449493035078,optoforce_0,-0.0281412691712,0.0434782608696,1.96399345336,0.0,0.0,0.0
1519700449539826338,7026,1519700449523017883,optoforce_0,-0.0140706345856,0.0434782608696,1.96399345336,0.0,0.0,0.0
1519700449572956139,7027,1519700449552958965,optoforce_0,-0.0140706345856,0.0724637681159,1.96399345336,0.0,0.0,0.0
1519700449606245913,7028,1519700449592890024,optoforce_0,-0.0422119037569,0.0724637681159,1.96399345336,0.0,0.0,0.0
1519700449638308207,7029,1519700449622916936,optoforce_0,-0.0281412691712,0.0579710144928,1.96399345336,0.0,0.0,0.0
1519700449671954942,7030,1519700449652965068,optoforce_0,-0.0140706345856,0.0579710144928,1.96399345336,0.0,0.0,0.0
1519700449707249725,7031,1519700449693022966,optoforce_0,-0.0140706345856,0.0724637681159,1.96399345336,0.0,0.0,0.0
1519700449740203917,7032,1519700449723020076,optoforce_0,-0.0281412691712,0.0724637681159,1.96399345336,0.0,0.0,0.0
1519700449774878421,7033,1519700449752962112,optoforce_0,-0.0140706345856,0.0434782608696,1.96399345336,0.0,0.0,0.0
1519700449806813366,7034,1519700449794148921,optoforce_0,-0.0140706345856,0.0724637681159,1.96399345336,0.0,0.0,0.0
1519700449839334756,7035,1519700449822977066,optoforce_0,-0.0422119037569,0.0724637681159,1.96399345336,0.0,0.0,0.0
1519700449874772865,7036,1519700449852935075,optoforce_0,-0.0281412691712,0.0579710144928,1.96399345336,0.0,0.0,0.0
1519700449906769304,7037,1519700449893034934,optoforce_0,-0.0140706345856,0.0579710144928,1.96399345336,0.0,0.0,0.0
1519700449938659697,7038,1519700449923115015,optoforce_0,-0.0140706345856,0.0724637681159,1.96399345336,0.0,0.0,0.0
1519700449972225905,7039,1519700449953073024,optoforce_0,-0.0422119037569,0.0869565217391,1.96399345336,0.0,0.0,0.0
1519700450005742053,7040,1519700449993129014,optoforce_0,-0.0281412691712,0.0434782608696,1.96399345336,0.0,0.0,0.0
1519700450038572877,7041,1519700450023017883,optoforce_0,0.0,0.0579710144928,1.96399345336,0.0,0.0,0.0
1519700450074347815,7042,1519700450053006887,optoforce_0,-0.0281412691712,0.0724637681159,1.96399345336,0.0,0.0,0.0
1519700450107181526,7043,1519700450093177080,optoforce_0,-0.0422119037569,0.0579710144928,1.96399345336,0.0,0.0,0.0
1519700450139761161,7044,1519700450123089075,optoforce_0,-0.0281412691712,0.0434782608696,1.96399345336,0.0,0.0,0.0
1519700450174554827,7045,1519700450153120040,optoforce_0,-0.0140706345856,0.0579710144928,1.96399345336,0.0,0.0,0.0
